Code,Variety,Class,Trial,Collaborative,Location,Year,Yield,Test,Protein,Height,Lodging,Headingdate,Stripe
SWW10004,Kaseberg,SWW,OWEYT,OR,Hermiston,2018,125.2,62.2,9.6,36,46.7,NA,NA
SWW10005,Rosalyn,SWW,OWEYT,OR,Hermiston,2018,147.1,62,9.8,36.3,28.3,NA,NA
SWW10006,Bobtail,SWW,OWEYT,OR,Hermiston,2018,122.5,60.8,10.8,35,73.3,NA,NA
SWW10007,Norwest Tandem (LOR 334),SWW,OWEYT,OR,Hermiston,2018,112.6,62.7,12.1,33,10,NA,NA
SWW10008,Norwest Duet (LOR 092),SWW,OWEYT,OR,Hermiston,2018,108.1,62.7,10.1,40.7,23.3,NA,NA
SWW10009,IDN 07-28017B,SWW,OWEYT,OR,Hermiston,2018,106,64.5,10.6,37.3,31.7,NA,NA
SWW10010,IDO 1005,SWW,OWEYT,OR,Hermiston,2018,110.2,63.2,11,37.7,16.7,NA,NA
SWW10011,IDO 1708,SWW,OWEYT,OR,Hermiston,2018,119.2,62.1,9.3,36.3,33.3,NA,NA
SWW10012,LCS Artdeco,SWW,OWEYT,OR,Hermiston,2018,133.2,62,9.1,33.3,0,NA,NA
SWW10013,LCS Drive (LWW12-7105),SWW,OWEYT,OR,Hermiston,2018,132.2,62.2,10.6,34,0,NA,NA
SWW10014,LCS Hulk (LWW14-73163),SWW,OWEYT,OR,Hermiston,2018,133.1,64.2,10.4,36.7,0,NA,NA
SWW10015,LCS Shark (LWW14-71195),SWW,OWEYT,OR,Hermiston,2018,116.8,61.8,11.6,36.3,0,NA,NA
SWW10016,LWW14-74143,SWW,OWEYT,OR,Hermiston,2018,134.2,60.9,9.4,34.3,88.3,NA,NA
SWW10017,LWW14-72916,SWW,OWEYT,OR,Hermiston,2018,121,62.4,10.5,31.3,20,NA,NA
SWW10018,LCS Sonic (LWW14-73161),SWW,OWEYT,OR,Hermiston,2018,109,62.6,12.1,37.3,53.3,NA,NA
SWW10019,LWW15-71945,SWW,OWEYT,OR,Hermiston,2018,139,62.2,10.5,36,3.3,NA,NA
SWW10020,WB 1529,SWW,OWEYT,OR,Hermiston,2018,114.4,64.2,12.3,36.3,40,NA,NA
SWW10021,WB 1783,SWW,OWEYT,OR,Hermiston,2018,123.2,65,11.4,39.7,0,NA,NA
SWW10022,WB 1604,SWW,OWEYT,OR,Hermiston,2018,130.3,63.8,10.5,37,0,NA,NA
SWW10023,WB 1532,SWW,OWEYT,OR,Hermiston,2018,115.5,63,11.1,36.3,33.3,NA,NA
SWW10024,XB 1104 (EXP),SWW,OWEYT,OR,Hermiston,2018,125.8,64,10.5,33.7,0,NA,NA
SWW10025,SY Ovation,SWW,OWEYT,OR,Hermiston,2018,114.5,62.4,10.2,36.3,40,NA,NA
SWW10026,SY Assure,SWW,OWEYT,OR,Hermiston,2018,109.9,63.7,11.1,32,0,NA,NA
SWW10027,SY Command (04PN066-7),SWW,OWEYT,OR,Hermiston,2018,106,62.1,11.1,36,6.7,NA,NA
SWW10028,SY Dayton (09PN062#18),SWW,OWEYT,OR,Hermiston,2018,125.3,62.8,10.3,36.3,43.3,NA,NA
SWW10029,SY Banks (09PN005#25),SWW,OWEYT,OR,Hermiston,2018,129.3,62.4,10.2,37,0,NA,NA
SWW10030,SY Raptor (09PN046#16),SWW,OWEYT,OR,Hermiston,2018,127.5,63,10.9,34.7,10,NA,NA
SWW10031,SY Candor (SY 09PN008#72),SWW,OWEYT,OR,Hermiston,2018,129.1,63.3,10.3,36.7,0,NA,NA
SWW10032,WA 8292,SWW,OWEYT,OR,Hermiston,2018,134,62.6,10.5,36.7,0,NA,NA
SWW10033,WA 8293,SWW,OWEYT,OR,Hermiston,2018,129.5,61.9,10.3,38.3,30,NA,NA
CW40001,ARS DH08X117-83C,Club,OWEYT,OR,Hermiston,2018,131.8,63.7,10.2,40.3,50,NA,NA
CW40002,ARS DH08X028-9C,Club,OWEYT,OR,Hermiston,2018,110,62.2,10.1,39.3,33.3,NA,NA
SWW10034,YS-201,SWW,OWEYT,OR,Hermiston,2018,100.6,63.2,11,37,23.3,NA,NA
SWW10035,M-Press,SWW,OWEYT,OR,Hermiston,2018,142.2,63.9,10.5,35.3,6.7,NA,NA
SWW10036,OR2121086,SWW,OWEYT,OR,Hermiston,2018,116.3,63.5,12,37,0,NA,NA
SWW10037,OR2121285,SWW,OWEYT,OR,Hermiston,2018,108.9,63.1,12.6,34.7,0,NA,NA
SWW10038,OR2130081,SWW,OWEYT,OR,Hermiston,2018,121.9,63,10.3,42.3,3.3,NA,NA
SWW10001,Stephens*,SWW,OWEYT,OR,Moro_Kaseberg,2018,92.7,62.3,8.9,36.3,NA,NA,NA
SWW10002,Tubbs 06*,SWW,OWEYT,OR,Moro_Kaseberg,2018,91.1,61.9,8.1,40.5,NA,NA,NA
SWW10003,Mary,SWW,OWEYT,OR,Moro_Kaseberg,2018,97.9,62.9,7.9,35.5,NA,NA,NA
SWW10004,Kaseberg,SWW,OWEYT,OR,Moro_Kaseberg,2018,102,61.3,8.1,35.5,NA,NA,NA
SWW10005,Rosalyn,SWW,OWEYT,OR,Moro_Kaseberg,2018,101.3,61,8,34.3,NA,NA,NA
SWW10006,Bobtail,SWW,OWEYT,OR,Moro_Kaseberg,2018,102.7,60.1,7.6,36.3,NA,NA,NA
SWW10007,Norwest Tandem (LOR 334),SWW,OWEYT,OR,Moro_Kaseberg,2018,105,62.3,8.2,33.3,NA,NA,NA
SWW10008,Norwest Duet (LOR 092),SWW,OWEYT,OR,Moro_Kaseberg,2018,84.7,61.9,8.2,41,NA,NA,NA
SWW10009,IDN 07-28017B,SWW,OWEYT,OR,Moro_Kaseberg,2018,97.6,63.7,8.1,37.5,NA,NA,NA
SWW10010,IDO 1005,SWW,OWEYT,OR,Moro_Kaseberg,2018,92.4,62.6,9.1,37.8,NA,NA,NA
SWW10011,IDO 1708,SWW,OWEYT,OR,Moro_Kaseberg,2018,88.6,61,8,37,NA,NA,NA
SWW10012,LCS Artdeco,SWW,OWEYT,OR,Moro_Kaseberg,2018,120.9,61.6,7.7,34.8,NA,NA,NA
SWW10013,LCS Drive (LWW12-7105),SWW,OWEYT,OR,Moro_Kaseberg,2018,112.6,61.4,8.4,31.5,NA,NA,NA
SWW10014,LCS Hulk (LWW14-73163),SWW,OWEYT,OR,Moro_Kaseberg,2018,100.5,63.7,8.2,36.7,NA,NA,NA
SWW10015,LCS Shark (LWW14-71195),SWW,OWEYT,OR,Moro_Kaseberg,2018,107.7,61.6,8.2,36.8,NA,NA,NA
SWW10016,LWW14-74143,SWW,OWEYT,OR,Moro_Kaseberg,2018,114.5,59.2,6.8,36.3,NA,NA,NA
SWW10017,LWW14-72916,SWW,OWEYT,OR,Moro_Kaseberg,2018,112.3,62.5,7.9,31.8,NA,NA,NA
SWW10018,LCS Sonic (LWW14-73161),SWW,OWEYT,OR,Moro_Kaseberg,2018,81.2,61.9,8.4,39,NA,NA,NA
SWW10019,LWW15-71945,SWW,OWEYT,OR,Moro_Kaseberg,2018,111.6,59.9,8.1,36,NA,NA,NA
SWW10020,WB 1529,SWW,OWEYT,OR,Moro_Kaseberg,2018,92.3,64,8.8,35,NA,NA,NA
SWW10021,WB 1783,SWW,OWEYT,OR,Moro_Kaseberg,2018,86.2,64.6,8.5,37.7,NA,NA,NA
SWW10022,WB 1604,SWW,OWEYT,OR,Moro_Kaseberg,2018,95.8,63.1,8.9,36.3,NA,NA,NA
SWW10023,WB 1532,SWW,OWEYT,OR,Moro_Kaseberg,2018,92.3,62.2,8.3,36,NA,NA,NA
SWW10024,XB 1104 (EXP),SWW,OWEYT,OR,Moro_Kaseberg,2018,99.6,64.1,8.6,33.8,NA,NA,NA
SWW10025,SY Ovation,SWW,OWEYT,OR,Moro_Kaseberg,2018,105.4,62.5,7.2,36.3,NA,NA,NA
SWW10026,SY Assure,SWW,OWEYT,OR,Moro_Kaseberg,2018,104.7,63,8.1,34.8,NA,NA,NA
SWW10027,SY Command (04PN066-7),SWW,OWEYT,OR,Moro_Kaseberg,2018,103.5,61.4,7.5,37.3,NA,NA,NA
SWW10028,SY Dayton (09PN062#18),SWW,OWEYT,OR,Moro_Kaseberg,2018,103.6,62.8,8.4,35,NA,NA,NA
SWW10029,SY Banks (09PN005#25),SWW,OWEYT,OR,Moro_Kaseberg,2018,90.8,62.2,8.7,36.5,NA,NA,NA
SWW10030,SY Raptor (09PN046#16),SWW,OWEYT,OR,Moro_Kaseberg,2018,109.4,61.9,7.9,35.8,NA,NA,NA
SWW10031,SY Candor (SY 09PN008#72),SWW,OWEYT,OR,Moro_Kaseberg,2018,92.9,61.9,8.4,37,NA,NA,NA
SWW10032,WA 8292,SWW,OWEYT,OR,Moro_Kaseberg,2018,91.2,63.1,9.4,36.8,NA,NA,NA
SWW10033,WA 8293,SWW,OWEYT,OR,Moro_Kaseberg,2018,90.3,62.3,9.2,38,NA,NA,NA
CW40001,ARS DH08X117-83C,Club,OWEYT,OR,Moro_Kaseberg,2018,99.4,62.4,7.3,40.3,NA,NA,NA
CW40002,ARS DH08X028-9C,Club,OWEYT,OR,Moro_Kaseberg,2018,95.2,61.6,8.2,37.8,NA,NA,NA
SWW10034,YS-201,SWW,OWEYT,OR,Moro_Kaseberg,2018,88.3,62.8,8.6,36.5,NA,NA,NA
SWW10035,M-Press,SWW,OWEYT,OR,Moro_Kaseberg,2018,105.5,62.6,8.6,33.3,NA,NA,NA
SWW10036,OR2121086,SWW,OWEYT,OR,Moro_Kaseberg,2018,98.6,62.7,8.8,38.3,NA,NA,NA
SWW10037,OR2121285,SWW,OWEYT,OR,Moro_Kaseberg,2018,95.7,62.3,8.8,33.8,NA,NA,NA
SWW10038,OR2130081,SWW,OWEYT,OR,Moro_Kaseberg,2018,89.7,62,8.7,38.8,NA,NA,NA
SWW10001,Stephens*,SWW,OWEYT,OR,Kent,2018,50.5,57.8,10.6,29,NA,NA,NA
SWW10002,Tubbs 06*,SWW,OWEYT,OR,Kent,2018,55.7,59,9.9,31.5,NA,NA,NA
SWW10003,Mary,SWW,OWEYT,OR,Kent,2018,54.3,59.3,10.1,28.3,NA,NA,NA
SWW10004,Kaseberg,SWW,OWEYT,OR,Kent,2018,60.2,59.3,9.8,29.3,NA,NA,NA
SWW10005,Rosalyn,SWW,OWEYT,OR,Kent,2018,58.6,58.4,9.6,29.5,NA,NA,NA
SWW10006,Bobtail,SWW,OWEYT,OR,Kent,2018,62.4,57.6,9.5,28.5,NA,NA,NA
SWW10007,Norwest Tandem (LOR 334),SWW,OWEYT,OR,Kent,2018,60.1,59,9.9,26.3,NA,NA,NA
SWW10008,Norwest Duet (LOR 092),SWW,OWEYT,OR,Kent,2018,58.9,60.6,8.8,33,NA,NA,NA
SWW10009,IDN 07-28017B,SWW,OWEYT,OR,Kent,2018,59.7,61.1,9.3,30,NA,NA,NA
SWW10010,IDO 1005,SWW,OWEYT,OR,Kent,2018,52.5,60.8,10.8,29.5,NA,NA,NA
SWW10011,IDO 1708,SWW,OWEYT,OR,Kent,2018,52.8,58.2,9.7,29.8,NA,NA,NA
SWW10012,LCS Artdeco,SWW,OWEYT,OR,Kent,2018,62.4,59.8,8.4,27.5,NA,NA,NA
SWW10013,LCS Drive (LWW12-7105),SWW,OWEYT,OR,Kent,2018,61.5,58.9,7.8,26.5,NA,NA,NA
SWW10014,LCS Hulk (LWW14-73163),SWW,OWEYT,OR,Kent,2018,62.9,61.3,8.3,30.7,NA,NA,NA
SWW10015,LCS Shark (LWW14-71195),SWW,OWEYT,OR,Kent,2018,60.6,60.4,8.5,29.5,NA,NA,NA
SWW10016,LWW14-74143,SWW,OWEYT,OR,Kent,2018,66.5,57.7,8.2,29.8,NA,NA,NA
SWW10017,LWW14-72916,SWW,OWEYT,OR,Kent,2018,60.3,60.2,9.2,26,NA,NA,NA
SWW10018,LCS Sonic (LWW14-73161),SWW,OWEYT,OR,Kent,2018,57.7,58.3,8.9,33.3,NA,NA,NA
SWW10019,LWW15-71945,SWW,OWEYT,OR,Kent,2018,51.4,57.3,10.7,27.5,NA,NA,NA
SWW10020,WB 1529,SWW,OWEYT,OR,Kent,2018,50.3,61.2,10.9,27.8,NA,NA,NA
SWW10021,WB 1783,SWW,OWEYT,OR,Kent,2018,54.7,63.3,9.7,30.5,NA,NA,NA
SWW10022,WB 1604,SWW,OWEYT,OR,Kent,2018,49.6,58.2,10.9,29.3,NA,NA,NA
SWW10023,WB 1532,SWW,OWEYT,OR,Kent,2018,49.3,59.4,11.1,28.5,NA,NA,NA
SWW10024,XB 1104 (EXP),SWW,OWEYT,OR,Kent,2018,55.1,59.8,10.6,28.5,NA,NA,NA
SWW10025,SY Ovation,SWW,OWEYT,OR,Kent,2018,55.9,57.5,10.3,29.3,NA,NA,NA
SWW10026,SY Assure,SWW,OWEYT,OR,Kent,2018,56.9,59.9,9.5,29,NA,NA,NA
SWW10027,SY Command (04PN066-7),SWW,OWEYT,OR,Kent,2018,54,58.6,8.9,29.3,NA,NA,NA
SWW10028,SY Dayton (09PN062#18),SWW,OWEYT,OR,Kent,2018,61.8,60.3,9.3,29.5,NA,NA,NA
SWW10029,SY Banks (09PN005#25),SWW,OWEYT,OR,Kent,2018,51.6,58.3,9.5,28.3,NA,NA,NA
SWW10030,SY Raptor (09PN046#16),SWW,OWEYT,OR,Kent,2018,57.2,58.8,10.3,28.5,NA,NA,NA
SWW10031,SY Candor (SY 09PN008#72),SWW,OWEYT,OR,Kent,2018,55.8,59.9,9.7,30.5,NA,NA,NA
SWW10032,WA 8292,SWW,OWEYT,OR,Kent,2018,54.2,60.4,10.1,29.3,NA,NA,NA
SWW10033,WA 8293,SWW,OWEYT,OR,Kent,2018,51.8,59.9,9.9,30,NA,NA,NA
CW40001,ARS DH08X117-83C,Club,OWEYT,OR,Kent,2018,52.4,62,10.2,29,NA,NA,NA
CW40002,ARS DH08X028-9C,Club,OWEYT,OR,Kent,2018,55.5,58.9,9.9,27.8,NA,NA,NA
SWW10034,YS-201,SWW,OWEYT,OR,Kent,2018,57,60.4,9.1,30,NA,NA,NA
SWW10035,M-Press,SWW,OWEYT,OR,Kent,2018,58.4,60.3,9.4,28.5,NA,NA,NA
SWW10036,OR2121086,SWW,OWEYT,OR,Kent,2018,47.7,58,10.9,29.8,NA,NA,NA
SWW10037,OR2121285,SWW,OWEYT,OR,Kent,2018,49.6,59,11.5,25.5,NA,NA,NA
SWW10038,OR2130081,SWW,OWEYT,OR,Kent,2018,47.6,58.2,11.4,29.5,NA,NA,NA
SWW10001,Stephens*,SWW,OWEYT,OR,La_Grande,2018,144.2,62,10.4,37.3,NA,31-May,NA
SWW10002,Tubbs 06*,SWW,OWEYT,OR,La_Grande,2018,125,60.3,9.5,42.8,NA,31-May,NA
SWW10003,Mary,SWW,OWEYT,OR,La_Grande,2018,129.6,61.3,10.5,36.8,NA,29-May,NA
SWW10004,Kaseberg,SWW,OWEYT,OR,La_Grande,2018,155,62.2,9.8,36.8,NA,29-May,NA
SWW10005,Rosalyn,SWW,OWEYT,OR,La_Grande,2018,167.8,62.6,9.9,37.7,NA,1-Jun,NA
SWW10006,Bobtail,SWW,OWEYT,OR,La_Grande,2018,177.9,62.3,10.5,37,NA,2-Jun,NA
SWW10007,Norwest Tandem (LOR 334),SWW,OWEYT,OR,La_Grande,2018,155.5,63.7,10,34.8,NA,25-May,NA
SWW10008,Norwest Duet (LOR 092),SWW,OWEYT,OR,La_Grande,2018,167.7,64.5,10,44.3,NA,31-May,NA
SWW10009,IDN 07-28017B,SWW,OWEYT,OR,La_Grande,2018,166.9,64.2,10.3,38.5,NA,27-May,NA
SWW10010,IDO 1005,SWW,OWEYT,OR,La_Grande,2018,152.9,63.8,10.3,39.3,NA,2-Jun,NA
SWW10011,IDO 1708,SWW,OWEYT,OR,La_Grande,2018,153.5,61.8,9.6,37,NA,26-May,NA
SWW10012,LCS Artdeco,SWW,OWEYT,OR,La_Grande,2018,154.3,62.9,9.7,36,NA,24-May,NA
SWW10013,LCS Drive (LWW12-7105),SWW,OWEYT,OR,La_Grande,2018,150.3,61.3,10.1,31.8,NA,25-May,NA
SWW10014,LCS Hulk (LWW14-73163),SWW,OWEYT,OR,La_Grande,2018,169.4,64.5,10.3,40,NA,31-May,NA
SWW10015,LCS Shark (LWW14-71195),SWW,OWEYT,OR,La_Grande,2018,166.2,62.4,10.3,37.3,NA,25-May,NA
SWW10016,LWW14-74143,SWW,OWEYT,OR,La_Grande,2018,172.9,60.7,9.3,38.3,NA,26-May,NA
SWW10017,LWW14-72916,SWW,OWEYT,OR,La_Grande,2018,160.4,63.6,9.9,33.3,NA,25-May,NA
SWW10018,LCS Sonic (LWW14-73161),SWW,OWEYT,OR,La_Grande,2018,165.1,63.7,9.3,39.3,NA,29-May,NA
SWW10019,LWW15-71945,SWW,OWEYT,OR,La_Grande,2018,177,62.3,10.1,36,NA,31-May,NA
SWW10020,WB 1529,SWW,OWEYT,OR,La_Grande,2018,154.6,65.1,10.6,37,NA,29-May,NA
SWW10021,WB 1783,SWW,OWEYT,OR,La_Grande,2018,159.7,65.1,10.1,39.3,NA,31-May,NA
SWW10022,WB 1604,SWW,OWEYT,OR,La_Grande,2018,156.8,63.9,10.5,39.3,NA,26-May,NA
SWW10023,WB 1532,SWW,OWEYT,OR,La_Grande,2018,159.9,64,10.9,36.8,NA,3-Jun,NA
SWW10024,XB 1104 (EXP),SWW,OWEYT,OR,La_Grande,2018,142.1,64.8,9.9,34.3,NA,22-May,NA
SWW10025,SY Ovation,SWW,OWEYT,OR,La_Grande,2018,158.4,62.6,9.8,39,NA,30-May,NA
SWW10026,SY Assure,SWW,OWEYT,OR,La_Grande,2018,160.6,64.1,11.2,36,NA,23-May,NA
SWW10027,SY Command (04PN066-7),SWW,OWEYT,OR,La_Grande,2018,154.5,61.7,10,38.3,NA,29-May,NA
SWW10028,SY Dayton (09PN062#18),SWW,OWEYT,OR,La_Grande,2018,168.8,63.5,10.7,36.5,NA,30-May,NA
SWW10029,SY Banks (09PN005#25),SWW,OWEYT,OR,La_Grande,2018,167.1,62.7,10.3,39,NA,2-Jun,NA
SWW10030,SY Raptor (09PN046#16),SWW,OWEYT,OR,La_Grande,2018,169.6,63.2,10,38,NA,26-May,NA
SWW10031,SY Candor (SY 09PN008#72),SWW,OWEYT,OR,La_Grande,2018,159.9,64.2,10.2,38.5,NA,1-Jun,NA
SWW10032,WA 8292,SWW,OWEYT,OR,La_Grande,2018,159.4,63.8,10.4,40.8,NA,4-Jun,NA
SWW10033,WA 8293,SWW,OWEYT,OR,La_Grande,2018,159.9,64.2,9.7,41,NA,2-Jun,NA
CW40001,ARS DH08X117-83C,Club,OWEYT,OR,La_Grande,2018,155,64.3,10.5,40,NA,30-May,NA
CW40002,ARS DH08X028-9C,Club,OWEYT,OR,La_Grande,2018,158.8,63.4,11.3,40.8,NA,1-Jun,NA
SWW10034,YS-201,SWW,OWEYT,OR,La_Grande,2018,148.1,63.3,9.7,39,NA,30-May,NA
SWW10035,M-Press,SWW,OWEYT,OR,La_Grande,2018,153.9,63.7,9.6,36.5,NA,2-Jun,NA
SWW10036,OR2121086,SWW,OWEYT,OR,La_Grande,2018,156.3,64,9.8,38,NA,28-May,NA
SWW10037,OR2121285,SWW,OWEYT,OR,La_Grande,2018,158.7,63.7,10.5,36.8,NA,30-May,NA
SWW10038,OR2130081,SWW,OWEYT,OR,La_Grande,2018,153.2,63,10.5,43,NA,2-Jun,NA
SWW10001,Stephens*,SWW,OWEYT,OR,Lexington,2018,48,59.4,NA,31.8,NA,NA,NA
SWW10002,Tubbs 06*,SWW,OWEYT,OR,Lexington,2018,51.9,59,NA,34.3,NA,NA,NA
SWW10003,Mary,SWW,OWEYT,OR,Lexington,2018,55.6,60.9,NA,30.5,NA,NA,NA
SWW10004,Kaseberg,SWW,OWEYT,OR,Lexington,2018,49.8,58.4,NA,31,NA,NA,NA
SWW10005,Rosalyn,SWW,OWEYT,OR,Lexington,2018,54.5,58,NA,30.3,NA,NA,NA
SWW10006,Bobtail,SWW,OWEYT,OR,Lexington,2018,53.5,57.4,NA,28.5,NA,NA,NA
SWW10007,Norwest Tandem (LOR 334),SWW,OWEYT,OR,Lexington,2018,58.5,61.5,NA,27.3,NA,NA,NA
SWW10008,Norwest Duet (LOR 092),SWW,OWEYT,OR,Lexington,2018,54.8,60.2,NA,33.3,NA,NA,NA
SWW10009,IDN 07-28017B,SWW,OWEYT,OR,Lexington,2018,59.5,61.8,NA,31.8,NA,NA,NA
SWW10010,IDO 1005,SWW,OWEYT,OR,Lexington,2018,49.5,61.2,NA,30.5,NA,NA,NA
SWW10011,IDO 1708,SWW,OWEYT,OR,Lexington,2018,48.9,58.4,NA,32.7,NA,NA,NA
SWW10012,LCS Artdeco,SWW,OWEYT,OR,Lexington,2018,55.3,59.3,NA,28.7,NA,NA,NA
SWW10013,LCS Drive (LWW12-7105),SWW,OWEYT,OR,Lexington,2018,60.2,59.1,NA,27.8,NA,NA,NA
SWW10014,LCS Hulk (LWW14-73163),SWW,OWEYT,OR,Lexington,2018,55.7,60.1,NA,32,NA,NA,NA
SWW10015,LCS Shark (LWW14-71195),SWW,OWEYT,OR,Lexington,2018,55,60,NA,29.3,NA,NA,NA
SWW10016,LWW14-74143,SWW,OWEYT,OR,Lexington,2018,49.7,57.6,NA,30.3,NA,NA,NA
SWW10017,LWW14-72916,SWW,OWEYT,OR,Lexington,2018,64.4,59.4,NA,28.3,NA,NA,NA
SWW10018,LCS Sonic (LWW14-73161),SWW,OWEYT,OR,Lexington,2018,47.4,59.2,NA,33,NA,NA,NA
SWW10019,LWW15-71945,SWW,OWEYT,OR,Lexington,2018,52.6,57.9,NA,29.5,NA,NA,NA
SWW10020,WB 1529,SWW,OWEYT,OR,Lexington,2018,51.7,61.5,NA,30.3,NA,NA,NA
SWW10021,WB 1783,SWW,OWEYT,OR,Lexington,2018,53.1,63.1,NA,32.3,NA,NA,NA
